object,action list
"5 objects: red pepper, orange carrot, yellow corn (blue contour), white bowl (green contour), glass container (purple contour)",Drop yellow corn in the white bowl and then Drop orange carrot in the white bowl and then Drop red pepper in the white bowl and then 
"5 objects: white bowl (red contour), red pepper (green contour), orange carrot (blue contour), corn (cyan contour), clear container (purple contour)",Drop corn in the white bowl and then Drop orange carrot in the white bowl and then Drop red pepper in the white bowl and then 
"5 objects: white bowl (red contour), glass container (green contour), orange carrot (blue contour), yellow corn (cyan contour), red chili (purple contour)",Drop red chili in the glass container and then Drop yellow corn in the glass container and then Drop orange carrot in the glass container and then 
8 objects: ,Drop green and yellow sponge in the purple bowl and then Drop purple eggplant in the glass container and then Drop corn in the green-outlined container and then Drop red chili in the left bowl and then Drop orange object in the bowl with cyan outline and then 
"6 objects: red pepper (blue contour), orange pepper (blue contour), white bowl (blue contour), glass container (cyan contour), purple eggplant (white contour), yellow corn (white contour)",Drop yellow corn in the glass container and then Drop yellow corn in the glass container and then 
"5 objects: white bowl (red contour), corn (blue contour), carrot (green contour), eggplant (cyan contour), red pepper (red contour)",Drop carrot in the white bowl and then Drop corn in the white bowl and then Drop eggplant in the white bowl and then Drop red pepper in the white bowl and then 
"5 objects: white bowl (red contour), red chili (blue contour), purple eggplant (purple contour), yellow corn (green contour), orange carrot (purple contour)",Drop yellow corn in the white bowl and then Drop yellow corn in the white bowl and then 
"6 objects: red pepper (red contour), purple eggplant (green contour), orange carrot (blue contour), corn (green contour), white bowl (purple contour), glass container (yellow contour)",Drop corn in the glass container and then Drop orange carrot in the white bowl and then 
"6 objects: orange carrot (cyan contour), red chili (green contour), purple eggplant (blue contour), yellow corn (green contour), white bowl (purple contour), glass container (yellow contour)",Drop yellow corn in the glass container and then Drop purple eggplant in the white bowl and then Drop red chili to the left of the glass container (in contact) and then Drop orange carrot to the right of the white bowl (in contact) and then 
"2 objects: white bowl (red contour), purple eggplant (green contour)",Drop purple eggplant in the white bowl and then 
"2 objects: white bowl (red contour), red pepper (green contour)",Drop red pepper to the right of the white bowl (in contact) and then 
"6 objects: white bowl (green contour), white bowl (red contour), yellow pepper, red tomato, red chili (blue contour), corn",Drop corn in the white bowl (red contour) and then Drop yellow pepper in the white bowl (red contour) and then Drop red tomato in the white bowl (green contour) and then Drop red chili (blue contour) in the white bowl (red contour) and then Drop red chili (blue contour) in the white bowl (red contour) and then 
"6 objects: red tomato, corn, red chili (green contour), yellow chili (purple contour), white bowl (cyan contour), white bowl (blue contour)",Drop red chili (green contour) in the white bowl (blue contour) and then Drop red tomato in the white bowl (blue contour) and then Drop yellow chili (purple contour) in the white bowl (cyan contour) and then Drop corn in the white bowl (cyan contour) and then 
"5 objects: red tomato (blue contour), yellow pepper (green contour), red chili (red contour), orange carrot (orange contour), white bowl (purple contour), glass container (yellow contour)",Drop red chili in the glass container and then Drop red chili to the left of the glass container (in contact) and then Drop red tomato in the glass container and then Drop yellow pepper to the left of the white bowl (in contact) and then 
"5 objects: yellow corn (blue contour), orange carrot (red contour), white bowl (blue contour), red tomato (green contour), red pepper (purple contour), transparent square container (purple contour)",Drop red tomato in the white bowl and then Drop red pepper in the white bowl and then 
5 objects: ,Drop green apple in the white bowl and then Drop red fruit in the white bowl and then 
"6 objects: white bowl (red contour), glass container (green contour), red tomato, red pepper (blue contour), corn, yellow pepper (green contour)",Drop red tomato in the glass container and then Drop red pepper (blue contour) in the white bowl and then Drop yellow pepper (green contour) to the right of the glass container (in contact) and then Drop corn to the right of the glass container (in contact) and then 
"6 objects: white bowl (red contour), glass container (green contour), orange pepper (purple contour), red tomato (blue contour), red chili (blue contour), yellow corn (blue contour)",Drop red tomato in the glass container and then Drop red chili in the white bowl and then Drop orange pepper to the left of the white bowl (in contact) and then Drop yellow corn to the right of the glass container (in contact) and then 
"5 objects: white bowl (green contour), transparent square container (purple contour), yellow banana (red contour), red chili pepper (blue contour), red tomato (blue contour)",Drop red tomato in the transparent square container and then Drop red chili pepper in the white bowl and then Drop yellow banana to the right of the transparent square container (in contact) and then 
"6 objects: white bowl (red contour), transparent square container (green contour), yellow banana (blue contour), red chili pepper (purple contour), red tomato (cyan contour), yellow corn (magenta contour)",Drop yellow corn in the transparent square container and then Drop yellow banana in the white bowl and then Drop red chili pepper in the white bowl and then Drop red tomato to the left of the white bowl (in contact) and then 
"4 objects: red tomato (green contour), red chili (blue contour), yellow corn (blue contour), yellow chili (purple contour)",Drop yellow chili above the yellow corn (in contact) and then Drop red chili to the left of the yellow corn (in contact) and then 
"4 objects: red tomato (blue contour), corn, red chili pepper, yellow carrot (green contour)",Drop yellow carrot to the right of the red tomato (in contact) and then Drop yellow carrot to the right of the corn (in contact) and then 
"4 objects: red tomato (red contour), corn (yellow contour), red chili (blue contour), yellow chili (green contour)",Drop yellow chili to the right of the corn (in contact) and then Drop red chili to the right of the red tomato (in contact) and then 
"4 objects: white bowl (red contour), food container (green contour), red tomato (blue contour), red pepper (purple contour)",Drop red pepper in the white bowl and then Drop red tomato in the white bowl and then Drop food container to the right of the white bowl (in contact) and then Drop red pepper in the white bowl and then Drop None in the white bowl and then 
"6 objects: white bowl (red contour), white bowl (green contour), corn (blue contour), eggplant (cyan contour), tomato (magenta contour), chili pepper (yellow contour)",Drop yellow chili pepper in the white bowl (green contour) and then Drop tomato (magenta contour) in the white bowl (green contour) and then Drop eggplant in the white bowl (red contour) and then Drop corn in the white bowl (red contour) and then 
"6 objects: white bowl (red contour), white bowl (green contour), corn (blue contour), red chili (purple contour), eggplant (pink contour), tomato (yellow contour)",Drop tomato in the white bowl (red contour) and then Drop red chili in the white bowl (red contour) and then Drop eggplant in the white bowl (red contour) and then Drop corn in the white bowl (red contour) and then 
"6 objects: white bowl (red contour), white bowl (green contour), corn (blue contour), tomato (cyan contour), chili pepper (purple contour), eggplant (yellow contour)",Drop tomato in the white bowl (red contour) and then Drop corn in the white bowl (green contour) and then Drop eggplant to the left of the white bowl (green contour) (in contact) and then 
"6 objects: red tomato, purple eggplant (green contour), red chili pepper (cyan contour), corn (blue contour), white bowl (purple contour), white bowl (yellow contour)",Drop red chili pepper (cyan contour) in the white bowl (yellow contour) and then Drop red tomato in the white bowl (yellow contour) and then Drop white bowl (yellow contour) in the white bowl (purple contour) and then Drop red tomato in the white bowl (purple contour) and then 
"6 objects: red pepper (red contour), purple eggplant (green contour), orange carrot (blue contour), corn (green contour), white bowl (purple contour), glass container (yellow contour)",Drop corn in the glass container and then Drop orange carrot in the white bowl and then 
"6 objects: red pepper (red contour), green pepper (green contour), purple eggplant (blue contour), yellow corn (cyan contour), white bowl (purple contour), glass container (yellow contour)",Drop red pepper above the white bowl and then 
"2 objects: red pepper, white bowl (blue contour)",Drop red pepper to the right of the white bowl (blue contour) (in contact) and then 
"2 objects: white bowl (red contour), purple eggplant toy",Drop purple eggplant toy in the white bowl and then 
"2 objects: white bowl (blue contour), red pepper (red contour)",Drop red pepper to the right of the white bowl (in contact) and then 
"2 objects: white bowl (red contour), corn (green contour)",Drop corn to the left of the white bowl (in contact) and then 
"2 objects: white bowl (green contour), red ball (blue contour)",Drop red ball to the left of the white bowl (in contact) and then 
"2 objects: orange carrot (green contour), white bowl (blue contour)",Drop orange carrot to the right of the white bowl (in contact) and then 
