demo,indexlist
long_demo1_sam2_contour,"[0, 9, 52, 89, 158, 207, 261, 323]"
long_demo2_sam2_contour,"[0, 34, 69, 145, 198, 229, 256, 299]"
long_demo3_sam2_contour,"[0, 34, 78, 123, 169, 213, 277]"
long_demo4_sam2_contour,"[0, 3, 49, 66, 113, 157, 233, 297, 359, 420, 473, 544, 599]"
long_demo5_sam2_contour,"[0, 12, 43, 88, 106, 156, 216, 253]"
long_demo6_sam2_contour,"[0, 11, 48, 90, 159, 219, 282, 340, 390, 452, 486]"
long_demo7_sam2_contour,"[0, 9, 37, 87, 105, 157, 210]"
long_demo8_sam2_contour,"[0, 32, 81, 124, 141, 188, 207, 272, 326, 376, 405, 461, 509]"
long_demo9_sam2_contour,"[0, 54, 86, 141, 199, 235, 309, 387, 427, 515]"
long_demo10_sam2_contour,"[0, 30, 73]"
long_demo11_sam2_contour,"[0, 28, 65]"
long_demo12_sam2_contour,"[0, 11, 49, 98, 154, 215, 253, 309, 348, 363, 410, 431]"
long_demo13_sam2_contour,"[0, 45, 83, 160, 224, 269, 326, 374, 428, 461]"
long_demo14_sam2_contour,"[0, 11, 49, 88, 104, 167, 224, 270, 321, 379, 422]"
long_demo15_sam2_contour,"[0, 7, 55, 104, 165, 221]"
long_demo16_sam2_contour,"[0, 17, 66, 124, 177, 239]"
long_demo17_sam2_contour,"[0, 30, 92, 139, 173, 241, 288, 348, 395]"
long_demo18_sam2_contour,"[0, 21, 76, 138, 190, 244, 303, 362, 403]"
long_demo19_sam2_contour,"[0, 50, 90, 142, 188, 241, 287, 341, 390, 426]"
long_demo20_sam2_contour,"[0, 53, 107, 151, 207, 260, 307, 351, 404]"
long_demo21_sam2_contour,"[0, 19, 56, 112, 172, 242, 298, 363]"
long_demo22_sam2_contour,"[0, 13, 44, 102, 161, 220]"
long_demo23_sam2_contour,"[0, 11, 41, 92, 145, 189]"
long_demo24_sam2_contour,"[0, 8, 40, 88, 142, 186, 236, 299, 324, 377, 430, 484, 526]"
long_demo25_sam2_contour,"[0, 10, 35, 74, 127, 177, 223, 271, 330, 371]"
long_demo26_sam2_contour,"[0, 9, 33, 68, 110, 152, 194, 233, 277, 320]"
long_demo27_sam2_contour,"[0, 34, 72, 109, 147, 189, 240, 283, 328]"
long_demo28_sam2_contour,"[0, 5, 37, 80, 124, 172, 211, 262, 317, 336, 351]"
long_demo29_sam2_contour,"[0, 28, 70, 124, 147, 186, 213, 274, 330, 374, 402, 456]"
long_demo30_sam2_contour,"[0, 204, 318, 424]"
short_demo1_sam2_contour,"[0, 19, 58, 110]"
short_demo2_sam2_contour,"[0, 29, 74]"
short_demo3_sam2_contour,"[0, 28, 64]"
short_demo4_sam2_contour,"[0, 26, 91, 126]"
short_demo5_sam2_contour,"[0, 36, 94]"
short_demo6_sam2_contour,"[0, 8, 54, 122]"
garments_organization1,"[27, 82, 137, 218, 251, 317, 340, 388, 443, 479, 552, 632, 656, 750]"
garments_organization1_15fps,[178]
garments_organization1_20fps,"[154, 231]"
garments_organization1_20fps,"[14, 64, 100, 146, 171, 226, 269, 358, 424, 497]"
garments_organization2_30fps,"[14, 98, 147, 218, 251, 338, 404, 437, 534, 630]"
garments_organization2_30fps,"[13, 56, 149, 200, 218, 255, 350, 400, 439, 543, 629]"
garments_organization3_20fps,"[18, 100, 139, 171, 233, 265]"
